openml_id,name,run_type,run_id,prevalence,threshold_center,nll_nb_raw,snb_nb_raw
1116,musk,prev,0,0.1541376174598363,0.1541376174598363,0.1494740814400418,0.1484516836290188
1116,musk,prev,1,0.1541376174598363,0.1541376174598363,0.1478562363723684,0.1441485220946653
1116,musk,prev,2,0.1541376174598363,0.1541376174598363,0.1487489375382776,0.1452466513265641
1116,musk,prev,3,0.1541376174598363,0.1541376174598363,0.1484851675846912,0.1465935106478764
1116,musk,prev,4,0.1541376174598363,0.1541376174598363,0.1493937574744483,0.1432619824039167
1120,MagicTelescope,inverse,0,0.3516298633017876,0.6483701366982124,0.1787149895203519,0.1829978034752507
1120,MagicTelescope,inverse,1,0.3516298633017876,0.6483701366982124,0.166507137593096,0.1847807770436843
1120,MagicTelescope,inverse,2,0.3516298633017876,0.6483701366982124,0.1755498624224513,0.1875909337998493
1120,MagicTelescope,inverse,3,0.3516298633017876,0.6483701366982124,0.1746703588725518,0.1883707297913033
1120,MagicTelescope,inverse,4,0.3516298633017876,0.6483701366982124,0.1782494205794397,0.1929906627657708
1120,MagicTelescope,prev,0,0.3516298633017876,0.3516298633017876,0.2260428958046125,0.228822726380041
1120,MagicTelescope,prev,1,0.3516298633017876,0.3516298633017876,0.2251380621970379,0.2243710429041333
1120,MagicTelescope,prev,2,0.3516298633017876,0.3516298633017876,0.2289883844921155,0.2366549361876891
1120,MagicTelescope,prev,3,0.3516298633017876,0.3516298633017876,0.2282128190866784,0.2328702257458352
1120,MagicTelescope,prev,4,0.3516298633017876,0.3516298633017876,0.2282765262049997,0.232915567974204
1461,bank-marketing,inverse,0,0.1169848045829554,0.8830151954170447,-0.0071959794750879,0.0
1461,bank-marketing,inverse,1,0.1169848045829554,0.8830151954170447,-0.0072814172637223,0.0
1461,bank-marketing,inverse,2,0.1169848045829554,0.8830151954170447,-0.0151767264181652,0.0
1461,bank-marketing,inverse,3,0.1169848045829554,0.8830151954170447,-0.0167271544346654,0.0
1461,bank-marketing,inverse,4,0.1169848045829554,0.8830151954170447,-0.0065589874027201,0.0
1461,bank-marketing,prev,0,0.1169848045829554,0.1169848045829554,0.0810865204356776,0.0812263948820757
1461,bank-marketing,prev,1,0.1169848045829554,0.1169848045829554,0.0789913300043286,0.079911024867247
1461,bank-marketing,prev,2,0.1169848045829554,0.1169848045829554,0.0802309977613553,0.0815314615885217
1461,bank-marketing,prev,3,0.1169848045829554,0.1169848045829554,0.0788109219939686,0.0794014065234503
1461,bank-marketing,prev,4,0.1169848045829554,0.1169848045829554,0.0786819061063414,0.0800726490876981
1462,banknote-authentication,prev,0,0.4446064139941691,0.4446064139941691,0.4436363636363637,0.4436363636363637
1462,banknote-authentication,prev,1,0.4446064139941691,0.4446064139941691,0.4400000000000001,0.4400000000000001
1462,banknote-authentication,prev,2,0.4446064139941691,0.4446064139941691,0.4452554744525548,0.4452554744525548
1462,banknote-authentication,prev,3,0.4446064139941691,0.4446064139941691,0.4452554744525548,0.4452554744525548
1462,banknote-authentication,prev,4,0.4446064139941691,0.4446064139941691,0.4299013916996995,0.4299013916996995
1471,eeg-eye-state,prev,0,0.4487983978638184,0.4487983978638184,0.0526664077165659,0.0672417141409273
1471,eeg-eye-state,prev,1,0.4487983978638184,0.4487983978638184,0.1191935741855634,0.1473249466403702
1471,eeg-eye-state,prev,2,0.4487983978638184,0.4487983978638184,0.0624527694584148,0.0650757831401151
1471,eeg-eye-state,prev,3,0.4487983978638184,0.4487983978638184,0.0554390977446901,0.0816496474626337
1471,eeg-eye-state,prev,4,0.4487983978638184,0.4487983978638184,0.0661069464550582,0.0765240849778352
1485,madelon,prev,0,0.5,0.5,0.053400552263573,0.053400552263573
1485,madelon,prev,1,0.5,0.5,0.0484470597517168,0.0484470597517168
1485,madelon,prev,2,0.5,0.5,0.046339961511865,0.046339961511865
1485,madelon,prev,3,0.5,0.5,0.0397006641461204,0.0397006641461204
1485,madelon,prev,4,0.5,0.5,0.0606929957654853,0.0606929957654853
1486,nomao,inverse,0,0.7143769041056144,0.2856230958943856,0.6854484903524571,0.6864175513972394
1486,nomao,inverse,1,0.7143769041056144,0.2856230958943856,0.6897548420774643,0.6897916311042075
1486,nomao,inverse,2,0.7143769041056144,0.2856230958943856,0.6875341038893924,0.6849175539845728
1486,nomao,inverse,3,0.7143769041056144,0.2856230958943856,0.6892895851374714,0.6893799179026859
1486,nomao,inverse,4,0.7143769041056144,0.2856230958943856,0.6896554533398945,0.6887508160407266
1486,nomao,prev,0,0.7143769041056144,0.7143769041056144,0.6411825042032344,0.6396542011464281
1486,nomao,prev,1,0.7143769041056144,0.7143769041056144,0.6512546654794543,0.6472982948387435
1486,nomao,prev,2,0.7143769041056144,0.7143769041056144,0.6449645376930648,0.6466425624969412
1486,nomao,prev,3,0.7143769041056144,0.7143769041056144,0.6495210707719273,0.6497258565265321
1486,nomao,prev,4,0.7143769041056144,0.7143769041056144,0.6464586808367193,0.6453305832876728
1487,ozone-level-8hr,inverse,0,0.0631412786108918,0.9368587213891082,0.0034639426143444,-0.0252076244921379
1487,ozone-level-8hr,inverse,1,0.0631412786108918,0.9368587213891082,0.0004317662182185,-0.0505533061243845
1487,ozone-level-8hr,inverse,2,0.0631412786108918,0.9368587213891082,0.0033658139283856,-0.0500875833879762
1487,ozone-level-8hr,inverse,3,0.0631412786108918,0.9368587213891082,-0.011497834912085,-0.2071352538775132
1487,ozone-level-8hr,inverse,4,0.0631412786108918,0.9368587213891082,0.0019762845849802,-0.0336454771318381
1487,ozone-level-8hr,prev,0,0.0631412786108918,0.0631412786108918,0.0340506616561615,0.0345599121306843
1487,ozone-level-8hr,prev,1,0.0631412786108918,0.0631412786108918,0.0445486197263374,0.0458863795252292
1487,ozone-level-8hr,prev,2,0.0631412786108918,0.0631412786108918,0.036934339662738,0.0375405306648765
1487,ozone-level-8hr,prev,3,0.0631412786108918,0.0631412786108918,0.0409233489780741,0.0426335945711839
1487,ozone-level-8hr,prev,4,0.0631412786108918,0.0631412786108918,0.0437727181163051,0.0448034645645137
1489,phoneme,inverse,0,0.2934863064396743,0.7065136935603257,0.0485658426268388,0.0605595326052217
1489,phoneme,inverse,1,0.2934863064396743,0.7065136935603257,0.0522933509364325,0.0563303103286096
1489,phoneme,inverse,2,0.2934863064396743,0.7065136935603257,0.0231553582392891,0.0501949052129258
1489,phoneme,inverse,3,0.2934863064396743,0.7065136935603257,0.0318463047415234,0.0567696093184185
1489,phoneme,inverse,4,0.2934863064396743,0.7065136935603257,0.0595299591914609,0.0540201610497663
1489,phoneme,prev,0,0.2934863064396743,0.2934863064396743,0.1726998002193392,0.1905218317420392
1489,phoneme,prev,1,0.2934863064396743,0.2934863064396743,0.1798922092461296,0.179383773740876
1489,phoneme,prev,2,0.2934863064396743,0.2934863064396743,0.1846916656355884,0.1932905196221734
1489,phoneme,prev,3,0.2934863064396743,0.2934863064396743,0.1699262038488517,0.1757398292554378
1489,phoneme,prev,4,0.2934863064396743,0.2934863064396743,0.1849064866168855,0.1935677089982066
1502,skin-segmentation,inverse,0,0.7924605295910747,0.2075394704089253,0.7643066747377717,0.7732579536239381
1502,skin-segmentation,inverse,1,0.7924605295910747,0.2075394704089253,0.7652269785721713,0.7731665548650501
1502,skin-segmentation,inverse,2,0.7924605295910747,0.2075394704089253,0.7652697334424996,0.7738524908235299
1502,skin-segmentation,inverse,3,0.7924605295910747,0.2075394704089253,0.7645093876653674,0.7734090182375196
1502,skin-segmentation,inverse,4,0.7924605295910747,0.2075394704089253,0.7639179062064348,0.772508136306476
1502,skin-segmentation,prev,0,0.7924605295910747,0.7924605295910747,0.7534534093789687,0.7642597980237668
1502,skin-segmentation,prev,1,0.7924605295910747,0.7924605295910747,0.7478051317890692,0.7600981814108096
1502,skin-segmentation,prev,2,0.7924605295910747,0.7924605295910747,0.7517727919702577,0.7641998777462389
1502,skin-segmentation,prev,3,0.7924605295910747,0.7924605295910747,0.7530546938119371,0.7647636599103789
