openml_id,name,run_type,prevalence,threshold_center,mean_train_size,n_runs,lr_nll_nb_raw,lr_snb_nb_raw,xgb_nll_nb_raw
1461,bank-marketing,prevalence,0.1169848045829554,0.8830151954170447,1710.0,5,0.0750422338358856,0.07359969172442724,0.07631009313227197
1462,banknote-authentication,prevalence,0.4446064139941691,0.5553935860058309,450.0,5,0.43391026115402076,0.43445151031367457,0.4330253892215775
1471,eeg-eye-state,prevalence,0.4487983978638184,0.5512016021361816,446.0,5,0.10186710165812007,0.1277276041044604,0.20885949110092636
1485,madelon,prevalence,0.5,0.5,400.0,5,0.0412905629618225,0.037687342871546604,0.12381903703348966
1486,nomao,inverse,0.7143769041056144,0.2856230958943856,701.0,5,0.6737178442571621,0.672313765462281,0.6775998095327163
1486,nomao,prevalence,0.7143769041056144,0.2856230958943856,701.0,5,0.6108976471718199,0.6023492494137372,0.6129374108023785
1489,phoneme,inverse,0.2934863064396743,0.7065136935603257,682.0,5,-0.009349744584069581,0.02242746893099086,0.06537894259095266
1489,phoneme,prevalence,0.2934863064396743,0.7065136935603257,682.0,5,0.14824758387402523,0.15215368151373043,0.19427603726273893
1502,skin-segmentation,inverse,0.7924605295910747,0.2075394704089253,964.0,5,0.7186575245309872,0.7402103710889386,0.7852601722587405
1502,skin-segmentation,prevalence,0.7924605295910747,0.2075394704089253,964.0,5,0.6885831816922161,0.735776945921151,0.7676419250142771
1570,wilt,inverse,0.0539367637941723,0.9460632362058277,3709.0,5,-0.019880078079668198,-0.014007256061179921,0.01441286755227864
1570,wilt,prevalence,0.0539367637941723,0.9460632362058277,3709.0,5,0.046568483414116055,0.0484474084006635,0.04903603292428632
1590,adult,inverse,0.7607182343065395,0.2392817656934605,836.0,5,0.6947153309445799,0.6915887314949489,0.6993157237817008
1590,adult,prevalence,0.7607182343065395,0.2392817656934605,836.0,5,0.4591952336103372,0.43795600509636523,0.4618509018455059
4135,Amazon_employee_access,inverse,0.9421099209618848,0.05789007903811516,3455.0,5,0.9385377900724784,0.9385377900724784,0.9385377900724784
4135,Amazon_employee_access,prevalence,0.9421099209618848,0.05789007903811516,3455.0,5,0.2033339076408222,0.21085383030961005,0.2130598618798083
4532,higgs,prevalence,0.5285772565017848,0.4714227434982152,425.0,5,0.08893010271998976,0.08239668157252886,0.1570742766062348
4534,PhishingWebsites,prevalence,0.5569425599276345,0.44305744007236547,452.0,5,0.47692654863779815,0.46829431314529363,0.4758509313146905
23517,numerai28.6,prevalence,0.5051702657807309,0.4948297342192691,405.0,5,0.00840586270263982,0.007388275623902043,0.0050708119584469994
40536,SpeedDating,inverse,0.1647171162568632,0.8352828837431368,1215.0,5,0.0007018720407753799,-0.00624418848708274,-0.00040014407325390496
40536,SpeedDating,prevalence,0.1647171162568632,0.8352828837431368,1215.0,5,0.08165636811686681,0.07603178729331218,0.08320899042028092
40701,churn,inverse,0.1414,0.8586,1415.0,5,-0.008716465132907681,-0.0033815055656663184,0.03701494631392316
40701,churn,prevalence,0.1414,0.8586,1415.0,5,0.08382144434069028,0.09916269005594743,0.10399733600264364
40978,Internet-Advertisements,inverse,0.8600182982616651,0.1399817017383349,1429.0,5,0.8516754926796635,0.8501320038450929,0.851878803433179
40978,Internet-Advertisements,prevalence,0.8600182982616651,0.1399817017383349,1429.0,5,0.7524538928630863,0.732568544838091,0.7451939903027818
41142,christine,prevalence,0.5,0.5,400.0,5,0.18202669812172126,0.18202669812172126,0.18734778249939066
41143,jasmine,prevalence,0.5,0.5,400.0,5,0.26896370547951237,0.2662721335305318,0.28933013960363974
41145,philippine,prevalence,0.5,0.5,400.0,5,0.17475173300827387,0.16401939160485887,0.21031896821916943
41146,sylvine,prevalence,0.5,0.5,400.0,5,0.405459318642318,0.39814379633266767,0.40912543183009936
41150,MiniBooNE,inverse,0.2806233854102595,0.7193766145897404,713.0,5,0.11164154869534708,0.10536349601424144,0.1351668015681759
41150,MiniBooNE,prevalence,0.2806233854102595,0.7193766145897404,713.0,5,0.2102961124958384,0.20896236909050653,0.2229482413707245
41434,Click_prediction_small,inverse,0.1684189446280164,0.8315810553719836,1188.0,5,-6.647167418052e-05,-2.0903000347319998e-05,0.0
41434,Click_prediction_small,prevalence,0.1684189446280164,0.8315810553719836,1188.0,5,0.035475955228100056,0.03396612602089072,0.03104143394403854
45035,albert,prevalence,0.5,0.5,400.0,5,0.12025609648772555,0.10806990408204291,0.12292484903295246
45072,airlines,prevalence,0.4454422923970537,0.5545577076029463,449.0,5,0.08887296938903112,0.08242250247018376,0.07952778197507056
